id,name,category,description,area,indoor_outdoor,estimated_cost,website
ago,Art Gallery of Ontario,Gallery,"Large downtown art museum with Canadian, Indigenous, European, contemporary, and special exhibition spaces.",Downtown,indoor,$$ ,https://ago.ca
rom,Royal Ontario Museum,Museum,"Major museum for natural history, world cultures, design, and rotating exhibitions near the University of Toronto.",Bloor-Yorkville,indoor,$$ ,https://www.rom.on.ca
bata_shoe_museum,Bata Shoe Museum,Museum,"Compact museum focused on footwear, fashion, craft, and cultural history with an easy two-hour visit length.",Bloor-Yorkville,indoor,$$ ,https://batashoemuseum.ca
gardiner_museum,Gardiner Museum,Museum,"Ceramics museum with calm galleries, design objects, workshops, and a quiet cafe atmosphere.",Bloor-Yorkville,indoor,$$ ,https://www.gardinermuseum.on.ca
textile_museum,Textile Museum of Canada,Museum,"Small museum highlighting textile art, craft, global material culture, and contemporary exhibitions.",Downtown,indoor,$ ,https://textilemuseum.ca
moca,Museum of Contemporary Art Toronto,Gallery,"Contemporary art museum in a converted industrial building with changing exhibitions and creative programming.",Junction Triangle,indoor,$$ ,https://moca.ca
aga_khan,Aga Khan Museum,Museum,"Museum of Islamic art, Iranian art, and Muslim cultures with architecture, gardens, and performing arts events.",North York,indoor,$$ ,https://agakhanmuseum.org
tiff_lightbox,TIFF Lightbox,Cinema,"Downtown film centre with curated screenings, festivals, talks, and a good rainy-day cultural option.",Entertainment District,indoor,$$ ,https://tiff.net
toronto_reference_library,Toronto Reference Library,Library,"Large public library with reading spaces, exhibitions, architecture, and a quiet indoor setting.",Bloor-Yorkville,indoor,free,https://www.torontopubliclibrary.ca/torontoreferencelibrary/
fort_york,Fort York National Historic Site,Historic Site,"Historic site with exhibits, preserved military buildings, seasonal tours, and open grounds near the waterfront.",Fort York,indoor/outdoor,$ ,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/fort-york-national-historic-site/
spadina_museum,Spadina Museum,Historic House,"Historic house museum with restored rooms, gardens, and guided visits near Casa Loma.",Casa Loma,indoor/outdoor,$ ,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/spadina-museum/
mackenzie_house,Mackenzie House,Historic House,"Small downtown historic home museum connected to Toronto history, printing, and political life.",Downtown,indoor,$ ,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/mackenzie-house/
todmorden_mills,Todmorden Mills,Historic Site,"Heritage buildings, gallery space, wildflower preserve, and walking paths in the Don Valley.",East York,indoor/outdoor,$ ,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/todmorden-mills/
toronto_railway_museum,Toronto Railway Museum,Museum,"Rail history museum beside Roundhouse Park with locomotives, exhibits, and easy access from Union Station.",Downtown,indoor/outdoor,$ ,https://torontorailwaymuseum.com
hockey_hall,Hockey Hall of Fame,Museum,"Sports museum with hockey history, trophies, interactive exhibits, and central downtown access.",Downtown,indoor,$$ ,https://www.hhof.com
st_lawrence_market,St. Lawrence Market,Market,"Historic food market with prepared foods, groceries, local vendors, and a lively lunch-friendly atmosphere.",Old Town,indoor,$-$$,https://www.stlawrencemarket.com
kensington_market,Kensington Market,Market,"Walkable neighbourhood market area with independent food shops, vintage stores, cafes, murals, and street life.",Kensington,indoor/outdoor,$-$$,https://kensingtonmarket.to
stackt_market,Stackt Market,Market,"Container market with food, drinks, pop-up shops, events, and casual outdoor gathering spaces.",Bathurst Quay,indoor/outdoor,$-$$,https://stacktmarket.com
union_station_food,Union Station Food Hall,Food Hall,"Central transit hub with indoor food options, public art, and easy connections to downtown plans.",Downtown,indoor,$-$$,https://torontounion.ca
the_well,The Well,Food and Shopping,"Mixed-use downtown destination with food hall options, shops, and covered pedestrian spaces.",King West,indoor/outdoor,$-$$,https://thewelltoronto.com
harbourfront_centre,Harbourfront Centre,Cultural Centre,"Waterfront cultural centre with exhibitions, performances, festivals, lake views, and year-round programming.",Waterfront,indoor/outdoor,free-$,https://harbourfrontcentre.com
toronto_music_garden,Toronto Music Garden,Park,"Waterfront garden inspired by music, suitable for a calm stroll, lake views, and seasonal performances.",Waterfront,outdoor,free,https://www.toronto.ca/data/parks/prd/facilities/complex/194/index.html
hto_park,HTO Park,Waterfront Park,"Urban beach-style waterfront park with yellow umbrellas, lake views, and a relaxed place to pause.",Waterfront,outdoor,free,https://www.toronto.ca/data/parks/prd/facilities/complex/464/index.html
sugar_beach,Sugar Beach,Waterfront Park,"Small waterfront urban beach park with pink umbrellas, lake views, and nearby food options.",East Bayfront,outdoor,free,https://www.toronto.ca/data/parks/prd/facilities/complex/2633/index.html
trillium_park,Trillium Park,Park,"Waterfront park with skyline views, paths, native planting, and access to Ontario Place grounds.",Waterfront,outdoor,free,https://www.ontarioplace.com/trillium-park/
toronto_islands,Toronto Islands,Park,"Island park reached by ferry, with skyline views, beaches, trails, picnic space, and a slower pace.",Toronto Islands,outdoor,$ ,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/
evergreen_brick_works,Evergreen Brick Works,Nature and Market,"Former brick factory with trails, weekend markets, sustainability programming, and Don Valley scenery.",Don Valley,indoor/outdoor,free-$,https://www.evergreen.ca/evergreen-brick-works/
allan_gardens,Allan Gardens Conservatory,Conservatory,"Indoor botanical conservatory with tropical plants, seasonal displays, and a warm low-cost rainy-day option.",Garden District,indoor,free,https://www.toronto.ca/data/parks/prd/facilities/complex/41/index.html
high_park,High Park,Park,"Large west-end park with trails, gardens, sports fields, picnic areas, and seasonal nature walks.",West End,outdoor,free,https://www.toronto.ca/data/parks/prd/facilities/complex/49/index.html
